"PGCS Private investment as percentage of GDP (%), Name: Private investment as percentage of GDP (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Algeria,17.97,B,15.31,B,17.21,B,16.54,B,15.62,B,16.15,B,16.56,B,16.40,B,15.17,B,15.65,B,14.98,B,14.34,B,14.89,B,13.65,B,15.98,B,15.22,B,13.15,B,12.98,B,12.31,B,12.28,B,15.98,B,20.01,B,19.51,B,19.58,B,24.72,B,23.25,B,21.84,B,25.22,B
Angola,13.02,B,30.83,B,68.13,B,71.44,B,65.25,B,74.00,B,92.76,B,62.82,B,89.46,B,70.65,B,33.80,B,29.51,B,27.97,B,30.91,B,31.57,B,33.47,B,30.72,B,18.82,B,23.28,B,23.54,B,26.12,B,24.32,B,25.66,B,22.64,B,22.26,B,22.56,B,28.88,B,32.60,B
Benin,9.71,B,13.71,B,14.91,B,15.30,B,15.42,B,14.55,B,13.68,B,14.62,B,14.99,B,16.18,B,17.11,B,17.25,B,15.76,B,17.08,B,15.41,B,14.35,B,13.10,B,16.82,B,14.66,B,16.45,B,14.00,B,18.62,B,17.01,B,23.01,B,21.20,B,20.51,B,16.80,B,20.47,B
Botswana,40.33,B,37.50,B,30.93,B,28.48,B,25.20,B,24.87,B,24.22,B,23.18,B,26.19,B,27.80,B,28.11,B,31.30,B,25.60,B,25.61,B,28.44,B,30.86,B,32.59,B,35.44,B,32.00,B,30.43,B,28.17,B,35.08,B,44.42,B,45.96,B,45.65,B,46.89,B,47.67,B,41.70,B
Burkina Faso,17.85,B,18.95,B,16.75,B,14.84,B,18.80,B,16.44,B,14.47,B,14.98,B,13.46,B,12.54,B,12.17,B,10.07,B,7.93,B,11.26,B,12.95,B,12.99,B,12.37,B,13.33,B,12.71,B,17.70,B,16.11,B,18.99,B,21.42,B,19.10,B,14.61,B,24.19,B,23.71,B,23.46,B
Burundi,3.41,B,3.25,B,3.66,B,4.52,B,2.62,B,2.59,B,3.90,B,3.77,B,4.29,B,9.31,B,4.14,B,5.00,B,5.04,B,9.56,B,9.18,B,6.59,B,7.70,B,6.37,B,3.85,B,2.81,B,6.69,B,7.37,B,3.82,B,4.71,B,5.59,B,6.00,B,5.98,B,6.12,B
Cabo Verde,27.17,B,26.85,B,27.81,B,30.28,B,34.54,B,31.33,B,34.18,B,28.28,B,22.41,B,23.42,B,22.56,B,19.99,B,28.69,B,21.87,B,28.03,B,25.74,B,25.79,B,32.56,B,35.80,B,34.22,B,37.61,B,33.87,B,30.51,B,22.47,B,24.83,B,26.52,B,31.66,B,34.93,B
Cameroon,12.59,B,11.90,B,9.73,B,13.39,B,11.73,B,11.92,B,11.05,B,11.86,B,12.53,B,12.57,B,13.45,B,21.01,B,20.97,B,19.23,B,19.91,B,20.02,B,18.72,B,17.39,B,18.65,B,19.29,B,20.44,B,22.18,B,19.95,B,20.03,B,20.61,B,19.44,B,20.79,B,19.27,B
Central African Republic,13.62,B,16.76,B,12.98,B,10.01,B,11.12,B,13.47,B,5.95,B,9.99,B,7.32,B,8.85,B,8.51,B,10.43,B,11.29,B,6.08,B,8.96,B,11.54,B,8.57,B,9.66,B,11.63,B,10.70,B,11.02,B,9.48,B,11.93,B,5.78,B,16.44,B,7.41,B,10.51,B,12.58,B
"Congo, Democratic Republic of the",12.46,B,9.84,B,7.68,B,6.25,B,6.63,B,6.36,B,5.50,B,5.52,B,5.57,B,6.22,B,5.83,B,6.46,B,9.19,B,8.59,B,6.56,B,7.50,B,8.04,B,9.03,B,9.07,B,13.80,B,13.99,B,14.68,B,18.49,B,18.49,B,22.13,B,14.91,B,15.80,B,19.43,B
"Congo, Republic of",15.56,B,16.33,B,17.98,B,25.09,B,45.34,B,28.92,B,18.07,B,14.12,B,20.90,B,15.16,B,14.59,B,12.98,B,9.93,B,10.22,B,13.30,B,15.82,B,17.35,B,29.01,B,28.53,B,21.70,B,28.15,B,22.25,B,17.87,B,21.46,B,21.61,B,28.89,B,36.18,B,32.29,B
C™te d'Ivoire,5.32,B,5.49,B,5.67,B,5.13,B,0.97,B,4.89,B,11.22,B,11.47,B,10.44,B,10.36,B,7.73,B,7.90,B,10.66,B,7.72,B,8.20,B,7.64,B,8.78,B,11.10,B,11.54,B,10.26,B,12.55,B,8.51,B,11.49,B,12.76,B,15.41,B,16.36,B,16.18,B,15.36,B
