"PGCS Public investment as percentage of GDP (%), Name: Public investment as percentage of GDP (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Algeria,8.51,B,7.25,B,5.46,B,5.84,B,7.13,B,6.52,B,6.03,B,6.13,B,7.01,B,6.41,B,7.60,B,8.70,B,8.75,B,9.39,B,7.83,B,8.98,B,12.00,B,13.81,B,17.18,B,19.30,B,16.68,B,14.23,B,14.56,B,16.40,B,12.32,B,14.74,B,16.50,B,14.15,B
Angola,5.87,B,11.62,B,4.70,B,2.76,B,6.60,B,3.89,B,9.20,B,9.90,B,6.41,B,4.55,B,6.49,B,6.29,B,5.74,B,6.18,B,7.91,B,5.19,B,5.44,B,16.81,B,16.99,B,20.04,B,11.81,B,16.15,B,14.33,B,16.10,B,16.10,B,14.74,B,6.64,B,5.69,B
Benin,11.69,B,8.82,B,8.35,B,8.41,B,7.07,B,8.78,B,8.91,B,8.49,B,8.02,B,7.10,B,4.61,B,6.47,B,6.02,B,5.81,B,5.76,B,5.13,B,5.31,B,4.94,B,6.60,B,5.82,B,9.93,B,5.26,B,5.92,B,7.47,B,6.48,B,4.56,B,7.06,B,7.14,B
Botswana,10.58,B,8.34,B,11.52,B,12.23,B,13.50,B,13.50,B,11.96,B,16.36,B,17.01,B,16.29,B,15.76,B,14.50,B,19.16,B,19.40,B,19.54,B,16.00,B,13.75,B,12.29,B,14.43,B,24.66,B,27.29,B,23.72,B,19.63,B,12.85,B,12.04,B,17.41,B,16.65,B,15.81,B
Burkina Faso,4.71,B,4.73,B,5.88,B,6.29,B,6.81,B,5.70,B,7.22,B,8.44,B,8.56,B,7.33,B,8.01,B,8.26,B,9.97,B,7.82,B,7.35,B,8.68,B,8.45,B,9.07,B,9.97,B,7.80,B,13.27,B,13.91,B,16.70,B,20.25,B,17.43,B,10.12,B,16.68,B,12.46,B
Burundi,0.85,B,0.85,B,0.98,B,1.35,B,0.79,B,0.84,B,1.30,B,1.24,B,0.98,B,2.28,B,1.12,B,1.00,B,0.97,B,1.63,B,4.63,B,4.37,B,2.62,B,3.39,B,5.81,B,9.12,B,6.76,B,6.13,B,9.49,B,8.36,B,8.01,B,6.18,B,5.68,B,3.95,B
Cabo Verde,8.80,B,8.70,B,7.14,B,7.85,B,9.81,B,5.55,B,7.88,B,7.41,B,10.72,B,12.73,B,7.94,B,11.28,B,7.15,B,12.19,B,12.61,B,9.85,B,12.44,B,15.64,B,10.50,B,8.69,B,12.75,B,17.29,B,8.20,B,11.36,B,13.86,B,5.78,B,5.31,B,3.47,B
Cameroon,4.58,B,4.53,B,4.31,B,6.55,B,6.49,B,5.92,B,6.45,B,6.36,B,6.50,B,6.90,B,6.26,B,2.61,B,2.49,B,1.83,B,1.94,B,1.43,B,2.20,B,2.66,B,5.05,B,3.85,B,2.79,B,2.86,B,4.61,B,4.59,B,5.90,B,6.50,B,5.61,B,7.65,B
Central African Republic,20.02,B,17.21,B,20.03,B,16.04,B,20.55,B,22.18,B,7.37,B,5.65,B,9.16,B,17.12,B,13.67,B,10.08,B,8.00,B,6.74,B,4.69,B,8.06,B,9.90,B,9.05,B,6.44,B,5.87,B,6.63,B,6.98,B,5.75,B,4.04,B,3.97,B,8.68,B,5.30,B,3.61,B
"Congo, Democratic Republic of the",0.28,B,0.36,B,0.18,B,0.10,B,0.06,B,0.15,B,0.41,B,0.02,B,0.01,B,0.00,B,0.10,B,0.04,B,0.14,B,0.55,B,1.45,B,1.31,B,1.90,B,1.50,B,1.47,B,3.28,B,4.26,B,13.89,B,8.74,B,6.39,B,1.84,B,5.47,B,4.42,B,6.18,B
"Congo, Republic of",2.22,B,3.04,B,0.86,B,0.96,B,2.78,B,1.60,B,1.73,B,9.66,B,3.96,B,3.67,B,4.45,B,6.46,B,6.13,B,6.74,B,4.95,B,7.31,B,7.58,B,22.63,B,14.66,B,19.14,B,18.98,B,18.24,B,27.36,B,39.14,B,30.60,B,34.32,B,29.02,B,14.13,B
C™te d'Ivoire,4.80,B,4.91,B,4.64,B,5.20,B,10.72,B,9.15,B,5.05,B,4.36,B,5.62,B,6.64,B,4.24,B,2.48,B,2.43,B,3.27,B,3.96,B,3.68,B,3.60,B,3.95,B,3.82,B,5.11,B,5.93,B,3.33,B,4.92,B,9.76,B,9.18,B,9.59,B,8.54,B,10.33,B
Equatorial Guinea,8.31,B,5.57,B,5.00,B,4.37,B,8.29,B,6.07,B,3.57,B,2.42,B,3.56,B,4.74,B,4.50,B,12.44,B,7.53,B,15.56,B,13.81,B,15.61,B,16.84,B,19.03,B,21.94,B,28.87,B,33.03,B,28.77,B,37.86,B,24.56,B,27.76,B,19.89,B,14.07,B,11.04,B
Eswatini,18.40,B,26.54,B,34.52,B,40.71,B,31.72,B,25.97,B,16.59,B,14.10,B,12.07,B,8.82,B,11.43,B,11.13,B,9.52,B,9.40,B,9.55,B,10.70,B,11.68,B,10.86,B,12.31,B,15.04,B,16.78,B,12.44,B,9.76,B,8.46,B,10.33,B,12.77,B,16.65,B,16.92,B
Ethiopia,12.42,B,8.67,B,6.72,B,5.80,B,7.17,B,6.49,B,6.31,B,5.92,B,5.27,B,5.72,B,6.74,B,8.69,B,9.63,B,9.37,B,13.53,B,12.52,B,13.41,B,13.63,B,14.30,B,19.32,B,17.79,B,24.00,B,25.88,B,23.74,B,28.66,B,27.31,B,25.44,B,27.47,B
Gabon,2.81,B,3.13,B,3.04,B,3.84,B,3.28,B,3.99,B,3.81,B,5.83,B,8.15,B,5.80,B,2.58,B,2.32,B,3.33,B,2.13,B,2.10,B,2.58,B,3.01,B,3.39,B,3.61,B,4.38,B,5.35,B,10.54,B,14.40,B,12.68,B,16.65,B,5.64,B,4.37,B,4.28,B
Ghana,2.86,B,3.23,B,3.23,B,3.96,B,6.65,B,6.78,B,7.08,B,7.56,B,7.05,B,3.90,B,23.26,B,7.87,B,6.08,B,4.79,B,7.54,B,8.07,B,8.60,B,10.96,B,13.64,B,7.72,B,5.58,B,5.20,B,10.89,B,5.09,B,5.95,B,5.40,B,5.53,B,5.24,B
Guinea,3.42,B,2.34,B,2.79,B,2.54,B,2.48,B,2.32,B,2.31,B,2.14,B,2.08,B,1.66,B,2.05,B,1.88,B,3.03,B,2.98,B,2.25,B,2.52,B,2.22,B,2.80,B,1.43,B,1.01,B,8.35,B,15.28,B,7.35,B,8.29,B,9.64,B,17.48,B,39.86,B,3.46,B
Guinea-Bissau,11.61,B,10.55,B,14.28,B,9.48,B,9.77,B,8.76,B,7.19,B,10.28,B,3.42,B,2.20,B,4.89,B,3.25,B,5.37,B,5.51,B,3.99,B,3.77,B,4.50,B,4.13,B,5.42,B,5.34,B,6.11,B,5.16,B,5.67,B,1.60,B,3.89,B,5.40,B,5.35,B,6.61,B
Kenya,3.17,B,3.90,B,3.52,B,3.30,B,3.64,B,4.50,B,3.27,B,3.60,B,3.63,B,3.06,B,3.02,B,2.93,B,2.58,B,2.42,B,2.62,B,3.15,B,3.26,B,2.69,B,3.37,B,4.87,B,6.46,B,6.87,B,7.25,B,7.06,B,8.27,B,6.95,B,7.17,B,11.70,B
Lesotho,22.84,B,34.55,B,40.40,B,32.68,B,35.04,B,42.96,B,37.92,B,37.72,B,35.11,B,30.75,B,27.48,B,23.17,B,21.06,B,18.12,B,10.75,B,7.05,B,5.45,B,5.35,B,6.92,B,10.26,B,12.67,B,14.36,B,17.87,B,18.22,B,16.76,B,17.04,B,14.40,B,15.96,B
Madagascar,12.93,B,4.41,B,6.66,B,8.47,B,7.33,B,6.06,B,6.37,B,6.88,B,6.71,B,6.96,B,6.49,B,7.24,B,4.57,B,5.30,B,8.87,B,8.68,B,8.91,B,9.60,B,8.31,B,6.26,B,3.69,B,4.94,B,4.88,B,2.69,B,2.81,B,4.51,B,3.50,B,4.83,B
Malawi,4.47,B,7.13,B,5.99,B,6.10,B,5.04,B,4.24,B,4.25,B,4.84,B,4.62,B,6.13,B,6.07,B,6.51,B,6.59,B,5.20,B,7.41,B,11.39,B,10.26,B,10.41,B,18.67,B,6.90,B,3.29,B,4.70,B,6.18,B,6.64,B,5.81,B,5.32,B,6.27,B,5.75,B
Mali,0.63,B,0.22,B,0.25,B,0.52,B,0.52,B,2.33,B,1.82,B,2.83,B,1.91,B,2.30,B,8.35,B,7.63,B,5.75,B,6.48,B,7.48,B,7.38,B,7.19,B,8.21,B,9.90,B,5.47,B,8.54,B,6.76,B,4.84,B,2.63,B,5.01,B,5.39,B,5.85,B,7.09,B
Mauritius,16.15,B,14.14,B,13.87,B,13.21,B,13.75,B,12.22,B,14.08,B,13.86,B,13.04,B,13.65,B,10.84,B,8.93,B,9.69,B,10.64,B,12.50,B,9.34,B,10.17,B,10.92,B,7.26,B,5.99,B,8.59,B,8.22,B,7.44,B,7.28,B,6.69,B,6.81,B,7.40,B,7.10,B
Mozambique,5.78,B,3.59,B,12.16,B,10.75,B,12.27,B,13.46,B,8.27,B,8.15,B,8.36,B,8.13,B,13.53,B,6.28,B,16.80,B,7.57,B,8.38,B,8.56,B,7.02,B,10.34,B,16.53,B,15.44,B,20.39,B,18.25,B,22.70,B,15.61,B,18.49,B,16.32,B,12.11,B,10.60,B
Namibia,8.16,B,6.26,B,10.01,B,10.94,B,8.28,B,9.48,B,9.54,B,7.69,B,12.86,B,9.97,B,12.39,B,11.22,B,12.42,B,8.69,B,9.50,B,9.04,B,10.68,B,9.44,B,13.22,B,12.71,B,9.52,B,11.74,B,18.68,B,15.03,B,16.91,B,15.88,B,13.78,B,14.42,B
Niger,4.87,B,9.49,B,6.63,B,11.21,B,12.96,B,11.79,B,11.79,B,8.11,B,8.84,B,8.19,B,10.63,B,10.61,B,11.14,B,9.98,B,10.35,B,14.24,B,13.00,B,12.22,B,17.99,B,12.98,B,15.80,B,6.47,B,5.89,B,10.84,B,13.49,B,18.12,B,14.52,B,11.70,B
Nigeria,7.35,B,7.05,B,6.29,B,9.77,B,8.78,B,6.05,B,4.39,B,4.59,B,5.48,B,5.08,B,5.17,B,1.41,B,1.92,B,1.19,B,5.29,B,4.93,B,3.75,B,4.15,B,4.41,B,5.09,B,4.78,B,4.90,B,3.42,B,3.80,B,3.96,B,3.28,B,2.94,B,2.55,B
Rwanda,8.03,B,7.46,B,8.84,B,9.15,B,4.33,B,6.63,B,7.49,B,7.70,B,7.93,B,8.86,B,9.66,B,8.90,B,7.29,B,7.47,B,5.35,B,6.91,B,8.01,B,8.81,B,11.35,B,9.73,B,9.51,B,10.66,B,12.88,B,12.08,B,13.75,B,15.29,B,14.80,B,12.73,B
Senegal,4.92,B,4.90,B,5.15,B,5.43,B,4.52,B,3.54,B,5.29,B,5.13,B,7.08,B,5.99,B,7.34,B,5.67,B,6.36,B,6.35,B,6.53,B,7.05,B,8.03,B,7.98,B,8.41,B,6.42,B,7.16,B,9.53,B,7.57,B,9.35,B,8.66,B,8.42,B,9.29,B,10.77,B
Sierra Leone,2.49,B,3.69,B,5.92,B,3.33,B,6.05,B,3.29,B,4.62,B,1.64,B,3.70,B,4.40,B,4.68,B,7.25,B,3.09,B,3.22,B,3.02,B,3.88,B,4.04,B,3.75,B,2.84,B,5.33,B,18.57,B,11.20,B,6.20,B,5.54,B,7.76,B,7.94,B,10.91,B,13.91,B
South Africa,6.34,B,5.19,B,5.04,B,4.79,B,4.27,B,4.09,B,4.12,B,4.04,B,4.19,B,3.50,B,3.52,B,3.51,B,3.29,B,3.56,B,3.92,B,3.98,B,3.92,B,4.18,B,4.89,B,4.51,B,4.12,B,3.96,B,3.96,B,4.34,B,4.27,B,4.51,B,4.77,B,4.59,B
Sudan,0.55,B,0.60,B,0.85,B,0.67,B,0.68,B,0.65,B,1.46,B,4.96,B,4.35,B,2.75,B,2.55,B,9.76,B,6.61,B,6.96,B,10.46,B,17.64,B,8.84,B,7.31,B,9.62,B,8.12,B,7.50,B,6.91,B,4.80,B,4.73,B,3.27,B,3.87,B,4.38,B,4.23,B
Tanzania,23.95,B,16.54,B,13.14,B,10.65,B,9.02,B,5.62,B,3.86,B,4.44,B,6.30,B,5.42,B,7.40,B,7.73,B,4.84,B,6.26,B,6.99,B,7.76,B,8.19,B,7.35,B,8.41,B,8.17,B,10.38,B,11.25,B,9.56,B,9.47,B,8.20,B,7.30,B,7.70,B,9.59,B
Togo,9.99,B,8.98,B,5.29,B,2.39,B,4.54,B,3.68,B,4.18,B,3.32,B,4.04,B,3.99,B,6.60,B,4.45,B,3.34,B,2.01,B,1.29,B,2.22,B,4.17,B,3.32,B,2.24,B,4.17,B,6.85,B,10.77,B,10.59,B,12.00,B,13.23,B,16.66,B,19.94,B,16.48,B
Uganda,21.77,B,20.95,B,10.05,B,9.68,B,10.22,B,10.42,B,8.74,B,8.07,B,8.79,B,9.90,B,9.83,B,7.15,B,7.31,B,7.61,B,8.17,B,8.90,B,9.20,B,9.79,B,9.22,B,9.54,B,9.22,B,10.00,B,10.21,B,9.28,B,10.28,B,12.38,B,13.62,B,13.93,B
Zambia,5.30,B,1.86,B,2.34,B,1.92,B,1.15,B,5.48,B,3.95,B,3.99,B,4.87,B,6.33,B,7.10,B,9.65,B,15.55,B,16.10,B,11.73,B,8.64,B,8.24,B,4.30,B,4.85,B,4.18,B,3.91,B,3.97,B,3.91,B,7.91,B,8.80,B,9.62,B,9.12,B,6.38,B
Advanced Economy,5.60,B,5.47,B,5.60,B,5.50,B,5.57,B,5.55,B,5.56,B,5.58,B,5.50,B,5.31,B,5.29,B,4.85,B,4.71,B,5.02,B,5.17,B,4.98,B,4.76,B,4.55,B,4.29,B,4.20,B,4.88,B,5.03,B,4.64,B,4.45,B,4.30,B,4.32,B,4.43,B,4.17,B
